name	Position	plate	Radiation	Radiation Type	Radiation Time	Cell Type	Antibody	Date of preparation	UserID	Race	Directory	num_nuc	avg_nfoci	std_nfoci	num_nuc_no_outl	avg_foci_no_outl	std_foci_no_outl	avg_fitc	avg_fitc_bg	avg_nuc_area	avg_nuc_dapi	avg_p2a	spot_fitc_sum
P231A1	A1	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	247CC	Mouse	Foci_processed_05-Nov-2016_73663903609_foci_analysis_05-Nov-2016	689	 1.65	 2.46	568	 1.63	 2.50	795.59	360.98	 4.82	2726.30	 1.20	5558.68
P231A10	A10	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	934CC	Mouse	Foci_processed_05-Nov-2016_73663996351_foci_analysis_05-Nov-2016	326	 2.26	 3.62	267	 2.48	 3.76	820.28	416.17	 4.66	4297.39	 1.19	8189.83
P231A2	A2	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	253CC	Mouse	Foci_processed_05-Nov-2016_73663967964_foci_analysis_05-Nov-2016	697	 1.23	 2.27	575	 1.00	 1.55	906.32	411.37	 4.59	3939.21	 1.15	4630.97
P231A3	A3	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	235CC	Mouse	Foci_processed_05-Nov-2016_73663972507_foci_analysis_05-Nov-2016	651	 1.23	 3.00	538	 0.96	 1.80	899.36	408.21	 4.04	4051.28	 1.11	3837.89
P231A4	A4	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C3H f2	Mouse	Foci_processed_05-Nov-2016_73663977060_foci_analysis_05-Nov-2016	565	 1.17	 2.03	460	 1.13	 2.01	817.32	429.53	 4.17	5236.94	 1.13	4476.07
P231A5	A5	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	915CC	Mouse	Foci_processed_05-Nov-2016_73663981347_foci_analysis_05-Nov-2016	609	 1.73	 6.64	520	 1.28	 1.98	885.98	428.71	 4.11	5246.30	 1.11	5316.90
P231A6	A6	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C57BL f1	Mouse	Foci_processed_05-Nov-2016_73663985436_foci_analysis_05-Nov-2016	605	 1.95	 3.69	494	 1.75	 2.61	860.17	399.78	 4.50	4736.25	 1.11	6283.93
P231A7	A7	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	254CC	Mouse	Foci_processed_05-Nov-2016_73663988993_foci_analysis_05-Nov-2016	516	 1.73	 8.68	445	 1.30	 2.93	932.80	401.75	 5.69	3282.72	 1.16	5175.21
P231A8	A8	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	BALBC f1	Mouse	Foci_processed_05-Nov-2016_73663992912_foci_analysis_05-Nov-2016	498	 1.35	 2.37	399	 1.35	 2.35	908.60	417.42	 4.69	3803.04	 1.12	5463.23
P231A9	A9	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	921CC	Mouse	Foci_processed_05-Nov-2016_73663994595_foci_analysis_05-Nov-2016	459	 1.70	 2.35	395	 1.65	 2.14	881.93	422.49	 3.93	4806.04	 1.12	5874.01
P231B1	B1	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	256CC	Mouse	Foci_processed_05-Nov-2016_73663902934_foci_analysis_05-Nov-2016	696	 1.57	 2.44	575	 1.41	 2.13	823.92	403.56	 4.51	4144.57	 1.16	5139.87
P231B10	B10	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	923CC	Mouse	Foci_processed_05-Nov-2016_73663996082_foci_analysis_05-Nov-2016	311	 2.32	 3.49	274	 2.12	 2.73	859.59	419.47	 4.08	4466.98	 1.11	7239.21
P231B2	B2	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	257CC	Mouse	Foci_processed_05-Nov-2016_73663967346_foci_analysis_05-Nov-2016	693	 1.12	 1.98	574	 1.02	 1.68	915.04	480.54	 4.77	4519.49	 1.14	3910.18
P231B3	B3	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	239CC	Mouse	Foci_processed_05-Nov-2016_73663972090_foci_analysis_05-Nov-2016	455	 1.56	 4.02	382	 1.34	 2.13	904.99	446.03	 4.55	4400.29	 1.15	5470.37
P231B4	B4	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	C3H f1	Mouse	Foci_processed_05-Nov-2016_73663976523_foci_analysis_05-Nov-2016	599	 1.46	 2.49	500	 1.43	 2.37	1022.11	487.62	 4.88	4708.02	 1.10	5278.25
P231B5	B5	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	233CC	Mouse	Foci_processed_05-Nov-2016_73663980728_foci_analysis_05-Nov-2016	641	 1.96	 3.33	550	 1.77	 2.73	768.59	381.25	 5.48	4313.83	 1.16	6612.38
P231B6	B6	P231	0.18	Ar 350 MeV/n	8 hr	Fibro	53BP1	10/8/2016	236CC	Mouse	Foci_processed_05-Nov-2016_73663984947_foci_analysis_05-Nov-2016	562	 1.25	 2.38	473	 1.03	 1.98	941.94	398.58	 4.23	4317.40	 1.11	4386.40
